"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2012-01-01","504","494","494","494","-1.98","23"
"BPCL","2012-01-02","494","485","485","485","-1.82","200"
"BPCL","2012-01-03","485","476","476","476","-1.86","40"
"BPCL","2012-01-04","476","479","470","479","0.63","620"
"BPCL","2012-01-09","479","497","488","497","3.76","34"
"BPCL","2012-01-10","497","516","506","516","3.82","56"
"BPCL","2012-01-11","516","506","506","506","-1.94","30"
"BPCL","2012-01-12","506","536","516","536","5.93","75"
"BPCL","2012-02-07","536","526","520","520","-2.99","80"
"BPCL","2012-02-27","520","510","468","468","-10.00","846"
"BPCL","2012-02-28","468","459","450","450","-3.85","509"
"BPCL","2012-03-04","450","455","450","455","1.11","1045"
"BPCL","2012-03-06","455","455","455","455","0.00","100"
"BPCL","2012-03-11","455","455","455","455","0.00","352"
"BPCL","2012-03-18","455","460","460","460","1.10","10"
"BPCL","2012-03-19","460","460","460","460","0.00","30"
"BPCL","2012-03-20","460","456","439","439","-4.57","421"
"BPCL","2012-03-21","439","435","431","431","-1.82","300"
"BPCL","2012-03-26","431","423","415","415","-3.71","200"
"BPCL","2012-03-28","415","410","390","392","-5.54","1800"
"BPCL","2012-03-29","392","386","383","383","-2.30","750"
"BPCL","2012-04-01","383","414","364","414","8.09","1860"
"BPCL","2012-04-02","414","430","422","430","3.86","40"
"BPCL","2012-04-03","430","425","417","425","-1.16","520"
"BPCL","2012-04-05","425","417","417","417","-1.88","150"
"BPCL","2012-04-08","417","420","420","420","0.72","500"
"BPCL","2012-04-09","420","412","396","396","-5.71","300"
"BPCL","2012-04-10","396","390","376","385","-2.78","842"
"BPCL","2012-04-11","385","408","386","395","2.60","730"
"BPCL","2012-04-12","395","434","392","434","9.87","680"
"BPCL","2012-04-15","434","459","405","405","-6.68","28100"
"BPCL","2012-04-17","405","477","450","450","0.00","1799"
"BPCL","2012-04-18","450","473","414","414","-8.00","2185"
"BPCL","2012-04-29","414","454","422","454","9.66","50"
